,Player Name,Player Salary
0,Player-0,"$13,545,293.20"
1,Player-1,"$27,642,642.39"
2,Player-2,"$28,806,178.92"
3,Player-3,"$48,396,059.85"
4,Player-4,"$25,222,927.01"
5,Player-5,"$28,012,742.10"
6,Player-6,"$49,533,458.13"
7,Player-7,"$3,837,443.00"
8,Player-8,"$27,366,875.36"
9,Player-9,"$36,096,946.95"
10,Player-10,"$23,246,164.82"
11,Player-11,"$22,912,349.63"
12,Player-12,"$24,402,457.31"
13,Player-13,"$22,299,909.08"
14,Player-14,"$2,440,632.57"
15,Player-15,"$41,907,162.65"
16,Player-16,"$13,135,958.78"
17,Player-17,"$30,982,425.23"
18,Player-18,"$2,430,023.51"
19,Player-19,"$6,456,145.50"
20,Player-20,"$12,339,822.01"
21,Player-21,"$10,819,096.74"
22,Player-22,"$12,380,456.62"
23,Player-23,"$30,622,414.62"
24,Player-24,"$8,427,357.74"
25,Player-25,"$26,376,244.50"
26,Player-26,"$26,589,105.38"
27,Player-27,"$46,323,945.48"
28,Player-28,"$37,645,704.46"
29,Player-29,"$40,917,252.45"
30,Player-30,"$29,460,383.79"
31,Player-31,"$34,934,083.08"
32,Player-32,"$49,624,467.28"
33,Player-33,"$21,784,263.10"
34,Player-34,"$13,195,371.13"
35,Player-35,"$18,436,456.61"
36,Player-36,"$27,840,184.46"
37,Player-37,"$14,056,882.21"
38,Player-38,"$36,602,155.20"
39,Player-39,"$2,614,483.91"
40,Player-40,"$7,149,617.17"
41,Player-41,"$42,851,260.55"
42,Player-42,"$26,317,234.38"
43,Player-43,"$13,066,092.46"
44,Player-44,"$10,493,395.51"
45,Player-45,"$17,808,096.00"
46,Player-46,"$19,544,239.89"
47,Player-47,"$678,029.02"
48,Player-48,"$38,961,414.56"
49,Player-49,"$13,792,609.97"
50,Player-50,"$48,339,448.21"
51,Player-51,"$45,203,048.72"
52,Player-52,"$1,814,819.55"
53,Player-53,"$31,296,985.10"
54,Player-54,"$44,470,640.56"
55,Player-55,"$33,191,296.73"
56,Player-56,"$10,087,069.68"
57,Player-57,"$23,022,942.57"
58,Player-58,"$17,586,792.55"
59,Player-59,"$45,744,679.78"
60,Player-60,"$48,730,031.62"
61,Player-61,"$275,028.29"
62,Player-62,"$29,842,971.74"
63,Player-63,"$7,773,670.00"
64,Player-64,"$36,374,383.32"
65,Player-65,"$32,691,930.49"
66,Player-66,"$11,197,178.72"
67,Player-67,"$35,307,225.25"
68,Player-68,"$11,380,565.75"
69,Player-69,"$31,098,568.13"
70,Player-70,"$48,455,229.36"
71,Player-71,"$32,184,884.96"
72,Player-72,"$707,660.78"
73,Player-73,"$23,389,766.95"
74,Player-74,"$1,954,422.42"
75,Player-75,"$13,031,361.51"
76,Player-76,"$26,653,057.13"
77,Player-77,"$22,674,984.47"
78,Player-78,"$40,408,986.04"
79,Player-79,"$3,435,444.33"
80,Player-80,"$14,990,096.40"
81,Player-81,"$44,608,809.20"
82,Player-82,"$25,732,727.53"
83,Player-83,"$27,189,109.08"
84,Player-84,"$18,370,066.35"
85,Player-85,"$21,049,107.52"
86,Player-86,"$41,810,361.47"
87,Player-87,"$18,587,319.28"
88,Player-88,"$46,426,404.77"
89,Player-89,"$42,516,594.40"
90,Player-90,"$28,930,596.80"
91,Player-91,"$18,959,308.49"
92,Player-92,"$46,431,741.36"
93,Player-93,"$31,186,579.06"
94,Player-94,"$14,017,700.46"
95,Player-95,"$20,087,805.84"
96,Player-96,"$42,102,111.27"
97,Player-97,"$30,638,276.46"
98,Player-98,"$44,649,023.41"
99,Player-99,"$30,132,636.66"
100,Player-100,"$33,768,387.29"
101,Player-101,"$43,360,941.18"
102,Player-102,"$38,244,110.89"
103,Player-103,"$2,923,480.30"
104,Player-104,"$9,916,669.36"
105,Player-105,"$43,832,070.51"
106,Player-106,"$47,293,078.32"
107,Player-107,"$26,818,269.82"
108,Player-108,"$31,470,428.47"
109,Player-109,"$17,618,865.61"
110,Player-110,"$47,066,651.96"
111,Player-111,"$26,224,349.15"
112,Player-112,"$4,891,347.96"
113,Player-113,"$7,163,415.09"
114,Player-114,"$15,886,030.87"
115,Player-115,"$42,158,642.10"
116,Player-116,"$48,178,222.20"
117,Player-117,"$7,456,766.74"
118,Player-118,"$18,868,827.03"
119,Player-119,"$19,159,250.90"
120,Player-120,"$13,022,109.08"
121,Player-121,"$5,264,630.11"
122,Player-122,"$8,232,444.58"
123,Player-123,"$6,793,785.15"
124,Player-124,"$30,452,034.33"
125,Player-125,"$48,349,118.75"
126,Player-126,"$9,653,374.32"
127,Player-127,"$5,617,312.98"
128,Player-128,"$21,863,995.05"
129,Player-129,"$11,312,650.44"
130,Player-130,"$44,957,657.68"
131,Player-131,"$46,514,600.44"
132,Player-132,"$23,348,799.45"
133,Player-133,"$32,911,488.39"
134,Player-134,"$49,351,533.10"
135,Player-135,"$22,183,482.27"
136,Player-136,"$38,557,912.72"
137,Player-137,"$25,068,069.87"
138,Player-138,"$17,387,890.39"
139,Player-139,"$25,664,142.66"
140,Player-140,"$12,254,946.54"
141,Player-141,"$40,873,164.17"
142,Player-142,"$4,808,897.97"
143,Player-143,"$39,174,124.69"
144,Player-144,"$28,162,113.54"
145,Player-145,"$36,365,912.59"
146,Player-146,"$8,234,717.89"
147,Player-147,"$37,269,727.55"
148,Player-148,"$18,530,608.24"
149,Player-149,"$29,404,128.14"
150,Player-150,"$43,858,465.21"
151,Player-151,"$10,744,423.71"
152,Player-152,"$36,261,984.63"
153,Player-153,"$10,130,032.70"
154,Player-154,"$1,666,130.53"
155,Player-155,"$14,125,104.69"
156,Player-156,"$23,347,020.01"
157,Player-157,"$728,922.76"
158,Player-158,"$13,130,621.05"
159,Player-159,"$14,164,770.92"
160,Player-160,"$582,974.50"
161,Player-161,"$9,654,652.02"
162,Player-162,"$12,800,384.92"
163,Player-163,"$41,796,432.69"
164,Player-164,"$47,385,463.02"
165,Player-165,"$18,689,599.95"
166,Player-166,"$16,666,103.72"
167,Player-167,"$8,700,925.08"
168,Player-168,"$20,591,884.14"
169,Player-169,"$46,859,186.90"
170,Player-170,"$38,672,734.05"
171,Player-171,"$14,710,401.11"
172,Player-172,"$14,335,640.14"
173,Player-173,"$11,865,268.98"
174,Player-174,"$26,027,028.59"
175,Player-175,"$11,234,921.03"
176,Player-176,"$2,075,707.36"
177,Player-177,"$23,907,823.27"
178,Player-178,"$5,645,733.03"
179,Player-179,"$22,690,830.68"
180,Player-180,"$47,516,811.86"
181,Player-181,"$49,268,569.52"
182,Player-182,"$7,707,211.57"
183,Player-183,"$43,361,983.82"
184,Player-184,"$29,419,250.77"
185,Player-185,"$44,038,937.41"
186,Player-186,"$17,073,012.84"
187,Player-187,"$22,011,367.85"
188,Player-188,"$3,121,972.48"
189,Player-189,"$17,884,923.10"
190,Player-190,"$11,687,829.12"
191,Player-191,"$15,361,931.47"
192,Player-192,"$22,507,986.75"
193,Player-193,"$6,391,218.65"
194,Player-194,"$47,946,464.10"
195,Player-195,"$42,904,621.40"
196,Player-196,"$22,184,486.31"
197,Player-197,"$21,011,163.35"
198,Player-198,"$20,379,911.64"
199,Player-199,"$1,224,043.63"
200,Player-200,"$7,622,407.65"
201,Player-201,"$41,801,682.17"
202,Player-202,"$48,133,629.62"
203,Player-203,"$27,930,928.73"
204,Player-204,"$23,423,405.02"
205,Player-205,"$23,639,856.83"
206,Player-206,"$2,816,002.79"
207,Player-207,"$30,302,768.69"
208,Player-208,"$9,639,060.48"
209,Player-209,"$4,406,739.65"
210,Player-210,"$17,985,343.44"
211,Player-211,"$33,584,902.64"
212,Player-212,"$38,297,880.79"
213,Player-213,"$33,031,484.71"
214,Player-214,"$35,501,894.72"
215,Player-215,"$44,125,632.01"
216,Player-216,"$12,977,214.42"
217,Player-217,"$46,083,980.11"
218,Player-218,"$19,996,163.96"
219,Player-219,"$3,339,667.47"
220,Player-220,"$10,476,897.83"
221,Player-221,"$13,585,584.87"
222,Player-222,"$11,298,913.30"
223,Player-223,"$1,483,310.88"
224,Player-224,"$44,385,812.58"
225,Player-225,"$33,062,215.53"
226,Player-226,"$21,176,137.00"
227,Player-227,"$18,666,245.36"
228,Player-228,"$24,578,916.25"
229,Player-229,"$9,055,449.20"
230,Player-230,"$1,403,586.51"
231,Player-231,"$26,569,138.66"
232,Player-232,"$20,773,664.97"
